CAS,Name,Normalized_Name
135-98-8,Sec-butylbenzene,sec-butylbenzene
13509-27-8,Methyl Phenyl Carbonate,methyl phenyl carbonate
137-32-6,2-methyl-1-butanol,2-methyl-1-butanol
140-10-3,t-Cinnamic acid,t-cinnamic acid
140-31-8,N-aminoethyl piperazine,n-aminoethyl piperazine
141-43-5,Monoethanolamine,monoethanolamine
141-78-6,Ethyl acetate,ethyl acetate
141-79-7,Mesityl oxide,mesityl oxide
141-82-2,Malonic acid,malonic acid
141-93-5,M-diethylbenzene,m-diethylbenzene
142-62-1,Caproic acid,caproic acid
142-82-5,N-heptane,n-heptane
142-92-7,N-hexyl acetate,n-hexyl acetate
142-96-1,Di-n-butyl ether,di-n-butyl ether
143-07-7,Lauric acid,lauric acid
143-08-8,1-nonanol,1-nonanol
143-24-8,Tetraethylene glycol dimethyl ether,tetraethylene glycol dimethyl ether
14371-10-9,t-Cinnamaldehyde,t-cinnamaldehyde
144-62-7,Oxalic acid,oxalic acid
14465-68-0,Trilenollenin,trilenollenin
1454-84-8,1-nonadecanol,1-nonadecanol
1454-85-9,1-heptadecanol,1-heptadecanol
15869-80-4,3-ethylheptane,3-ethylheptane
15869-85-9,5-methylnonane,5-methylnonane
15869-87-1,"2,2-dimethyloctane","2,2-dimethyloctane"
15870-10-7,2-methyl-1-heptene,2-methyl-1-heptene
1634-04-4,Methyl tert-butyl ether,methyl tert-butyl ether
1638-16-0,TriPropylene Glycol,tripropylene glycol
1638-26-2,"1,1-dimethylcyclopentane","1,1-dimethylcyclopentane"
1640-89-7,Ethylcyclopentane,ethylcyclopentane
16747-30-1,"2,4,4-trimethylhexane","2,4,4-trimethylhexane"
16747-38-9,"2,3,3,4-tetramethylpentane","2,3,3,4-tetramethylpentane"
16747-50-5,1-methyl-1-ethylcyclopentane,1-methyl-1-ethylcyclopentane
1678-91-7,Ethylcyclohexane,ethylcyclohexane
1678-92-8,N-propylcyclohexane,n-propylcyclohexane
1678-93-9,N-butylcyclohexane,n-butylcyclohexane
17301-94-9,4-methylnonane,4-methylnonane
17352-32-8,Nonadecanal,nonadecanal
1740-19-8,Dehydroabietic acid,dehydroabietic acid
1758-88-9,2-ethyl-p-xylene,2-ethyl-p-xylene
1759-58-6,"Trans-1,3-dimethylcyclopentane","trans-1,3-dimethylcyclopentane"
18094-01-4,2-methyl-1-tridecene,2-methyl-1-tridecene
18516-37-5,2-methyl-1-undecene,2-methyl-1-undecene
1860-27-1,Isopropyl butyl ether,isopropyl butyl ether
1945-53-5,Palustric acid,palustric acid
20333-39-5,Ethyl methyl disulfide,ethyl methyl disulfide
2040-95-1,N-butylcyclopentane,n-butylcyclopentane
2040-96-2,N-propylcyclopentane,n-propylcyclopentane
206-44-0,Fluoranthene,fluoranthene
21482-12-2,PentaPropylene Glycol,pentapropylene glycol
2177-47-1,2-methylindene,2-methylindene
218-01-9,Chrysene,chrysene
2207-01-4,"Cis-1,2-dimethylcyclohexane","cis-1,2-dimethylcyclohexane"
2207-03-6,"Trans-1,3-dimethylcyclohexane","trans-1,3-dimethylcyclohexane"
2207-04-7,"Trans-1,4-dimethylcyclohexane","trans-1,4-dimethylcyclohexane"
2216-33-3,3-methyloctane,3-methyloctane
2216-34-4,4-methyloctane,4-methyloctane
24800-25-7,TetraPropylene Glycol,tetrapropylene glycol
2532-58-3,"Cis-1,3-dimethylcyclopentane","cis-1,3-dimethylcyclopentane"
2551-62-4,Sulfur hexafluoride,sulfur hexafluoride
2615-15-8,HexaEthylene Glycol,hexaethylene glycol
2765-11-9,Pentadecanal,pentadecanal
287-23-0,Cyclobutane,cyclobutane
287-92-3,Cyclopentane,cyclopentane
2870-04-4,2-ethyl-m-xylene,2-ethyl-m-xylene
2980-71-4,2-methyl-1-nonene,2-methyl-1-nonene
29833-69-0,2-methyl-1-pentadecene,2-methyl-1-pentadecene
301-00-8,Methyl linolenate,methyl linolenate
30453-31-7,Ethyl propyl disulfide,ethyl propyl disulfide
3071-32-7,Ethylbenzene hydroperoxide,ethylbenzene hydroperoxide
3178-22-1,Tert-butylcyclohexane,tert-butylcyclohexane
3221-61-2,2-methyloctane,2-methyloctane
334-48-5,Capric acid,capric acid
3452-07-1,1-eicosene,1-eicosene
352-93-2,Diethyl sulfide,diethyl sulfide
3522-94-9,"2,2,5-trimethylhexane","2,2,5-trimethylhexane"
36653-82-4,1-hexadecanol,1-hexadecanol
3875-51-2,Isopropylcyclopentane,isopropylcyclopentane
